,Fact,Note
3074,"
        La formule chimique du cyanure est ""CN"", les initiales de Chuck Norris. Coincidence ? je ne pense pas...
 ",8.46 / 10 
3075,"
        Chuck Norris peut éteindre l'eau.
 ",8.46 / 10 
3076,"
        Chuck Norris arrive à paraître cool au volant d'une Lada
 ",8.46 / 10 
3077,"
        Chuck Norris peut vendre la peau de l'ours en tuant un calamar.
 ",8.46 / 10 
3078,"
        Chuck Norris connait les 36 solutions.
 ",8.46 / 10 
3079,"
        Chuck Norris peut manger du potage avec des baguettes chinoises
 ",8.46 / 10 
3080,"
        Chuck Norris ne perd jamais au démineur. Aller sur une mine ne fait rien a Chuck Norris.
 ",8.46 / 10 
3081,"
        Chuck Norris peut installer des logiciels sur Windows sans le redémarrer après.
 ",8.46 / 10 
3082,"
        Chuck Norris n'est pas monté comme un cheval, ce sont les chevaux qui sont montés comme Chuck Norris.
 ",8.46 / 10 
3083,"
        Le phare d'Alexandrie a été detruit par un tremblement de terre car il faisait de l'ombre à Chuck Norris. La nature respecte Chuck Norris.
 ",8.45 / 10 
3084,"
        Tant qu'il n'y a pas Chuck Norris, il y a de l'espoir.
 ",8.45 / 10 
3085,"
        Quand Chuck Norris mange mange un Petit Suisse, il ne recrache que les chaussures de randonnée
 ",8.45 / 10 
3086,"
        Chuck Norris peut gagner le Tour de France sans se doper.
 ",8.45 / 10 
3087,"
        Chuck Norris n'appelle pas les hotlines. Les hotlines appellent Chuck Norris pour savoir si tout va bien.
 ",8.45 / 10 
3088,"
        Chuck Norris dispose d'un joueur pour tirer les corners au babyfoot
 ",8.45 / 10 
3089,"
        La seule fois où la mort a sourit à Chuck Norris, c'était quand il lui a dit ""c'est bon, tu peux partir"".
 ",8.45 / 10 
3090,"
        Quand Chuck Norris est en concert, les rolling stones assurent la premiere partie.
 ",8.45 / 10 
3091,"
        Chuck Norris comprend l'anglais de Jean-Pierre Raffarin
 ",8.45 / 10 
3092,"
        Archimède à dit : donnez moi un point d'appui, un levier ou Chuck Norris et je vous soulèvrai le monde.
 ",8.45 / 10 
3093,"
        Si on ne voit jamais la femme de Columbo, c'est parce qu'elle s'est barrée avec Chuck Norris...
 ",8.45 / 10 
3094,"
        Il y a quelques années les teletubies étaient des tueurs en série réputés comme étant les plus dangereux.
Depuis Chuck Norris leur a montré qui était le meilleur.
 ",8.45 / 10 
3095,"
        Au Monopoly, quand Chuck Norris s'arrête à ""Place Pigale"", il peut acheter les prostituées.
 ",8.45 / 10 
3096,"
        Chuck Norris peut boire de l'eau avec des baguettes chinoises.
 ",8.45 / 10 
3097,"
        Chuck Norris sait de quoi parle Amour Gloire et Beauté.
 ",8.45 / 10 
3098,"
        Quand Chuck Norris saute, il ne retombe pas : la Terre vient à lui.
 ",8.45 / 10 
3099,"
        Chuck Norris. What else?
 ",8.45 / 10 
3100,"
        Le secret de la richesse de Bill Gates? une photo dédicacée de Chuck Norris mise aux enchères.
 ",8.45 / 10 
3101,"
        Les américains ont bien trouvé des armes de destruction massives en Irak: 3 cheveux et une photo dédicacée de Chuck Norris.
 ",8.45 / 10 
3102,"
        Chuck Norris ne fait plus de film car c'est un mauvais acteur : il n'arrive pas à perdre durant les scènes de combat.
 ",8.45 / 10 
3103,"
        C'est Chuck Norris qui a tué le Colonel Moutarde.
 ",8.45 / 10 
3104,"
        Les hommes rêvent d'atteindre la vitesse de la lumière.
La lumière rêvent d'atteindre la vitesse de Chuck Norris.
 ",8.45 / 10 
3105,"
        Chuck norris peut battre le blancs d'un oeuf dur en neige.
 ",8.45 / 10 
3106,"
        l'Everest n'a jamais réussi à atteindre Chuck Norris
 ",8.45 / 10 
3107,"
        Le prototype de Chuck Norris s'appelait Achille, il avait un petit défaut au talon.
 ",8.45 / 10 
3108,"
        Il n'y aura jamais de Chuck Norris Burger. Personne ne commande Chuck Norris.
 ",8.45 / 10 
3109,"
        Si Chuck Norris avait un frère jumeau, il serait quand même l'aîné.
 ",8.45 / 10 
3110,"
        Chuck Norris a déjà ramassé tous les boyards de la salle du trésor de Fort Boyard.
 ",8.45 / 10 
3111,"
        Chuck Norris sait pourquoi l'orangina rouge est aussi méchant.
 ",8.45 / 10 
3112,"
        Chuck Norris sait replier une carte routière du premier coup.
 ",8.45 / 10 
3113,"
        A la maternelle, Hulk devait toujours donner son goûter à Chuck Norris.
 ",8.45 / 10 
3114,"
        à Los angeles, il y a une treve dans la guerre des gangs, quand Chuck Norris sort faire pisser son chien
 ",8.45 / 10 
3115,"
        Les flots s'écartent devant Moïse, Moïse s'écarte devant Chuck Norris.
 ",8.45 / 10 
3116,"
        Si Chuck Norris avait remplacé Sam Fisher, Splinter Cell n'aurait pas été un jeu d'infiltration.
 ",8.45 / 10 
3117,"
        Chuck Norris peut utiliser Windows Vista
 ",8.45 / 10 
3118,"
        Quand Chuck Norris passe devant un miroir, il n'y a pas de reflet: il n'y a qu'un seul Chuck Norris.
 ",8.45 / 10 
3119,"
        Quand Chuck Norris te marche sur le pied, c'est toi qui t'excuse.
 ",8.45 / 10 
3120,"
        Quand Mac Gyver était en maternelle, Chuck Norris était son prof de travaux pratiques...
 ",8.45 / 10 
3121,"
        Si Indiana Jones veut toujours récupérer son chapeau, c'est parce que c'est Chuck Norris qui lui a donné.
 ",8.45 / 10 
3122,"
        Chuck Norris aime les enfants... Bien poivrés, avec de la sauce piquante, et bien cuits.
 ",8.45 / 10 
3123,"
        Si Mario a une moustache, c'est pour ressembler à Chuck Norris.
 ",8.45 / 10 
3124,"
        Quand on tire sur la jambe de Chuck Norris, il boite. Quand on lui tire sur les deux jambes, il vole.
 ",8.45 / 10 
3125,"
        James Bond a un permis de tuer. Chuck Norris n'a pas besoin de permis.
 ",8.45 / 10 
3126,"
        Chuck Norris ne gare pas son pick-up. il s'arrête et on vient lui tracer une bande blanche autour.
 ",8.45 / 10 
3127,"
        Chuck Norris ne fait pas de fautes d'orthographe, c'est l'orthographe qui se trompe.
 ",8.45 / 10 
3128,"
        Un jour Chuck Norris a mis une pichenette sur le front à Rambo. Depuis il met un bandeau pour que son crâne tienne en un seul morceau.
 ",8.45 / 10 
3129,"
        Chuck Norris peut casser trois pattes à un canard.
 ",8.45 / 10 
3130,"
        Chuck Norris travaille pour la NASA, il est lanceur de fusées.
 ",8.45 / 10 
3131,"
        Chuck Norris n'a pas de maison, il choisit des maisons au hasard, et leurs occupants s'en vont
 ",8.45 / 10 
3132,"
        Timon a lancé un ""hakuna matata"", Chuck Norris lui a répondu par un ""mawashi geri"".
 ",8.45 / 10 
3133,"
        Chuck Norris devait être le nouveau Messie, mais on a toujours pas réussi à lui clouer les mains.
 ",8.45 / 10 
3134,"
        L'avenir n'appartient pas à ceux qui se levent tôt, mais plutôt à ceux qui ne croisent pas Chuck Norris.
 ",8.45 / 10 
3135,"
        Chuck Norris n'a jamais eu besoin de ceinture noire, son pantalon tient tout seul.
 ",8.45 / 10 
3136,"
        Chuck Norris épluche le singe avant la banane.
 ",8.45 / 10 
3137,"
        Si Chuck Norris était noir, il y aurait moins de racistes de par le monde...
 ",8.45 / 10 
3138,"
        Chuck Norris mange le kinder avec la surprise
 ",8.45 / 10 
3139,"
        Chuck Norris peut ne manger qu'un Granola.
 ",8.45 / 10 
3140,"
        Chuck Norris peut gonfler les roues d'un train
 ",8.45 / 10 
3141,"
        les requins ne viennent plus sur terre depuis qu'ils ont vu le film "" les dents de Chuck Norris"".
 ",8.45 / 10 
3142,"
        Si Chuck Norris ne joue pas aux Legos, c'est pour ne pas faire d'ombre aux Pyramides.
 ",8.45 / 10 
3143,"
        Chuck Norris ne croit pas en Dieu, mais Dieu croit en Chuck Norris.
 ",8.45 / 10 
3144,"
        Quand un acteur a obtenu 10 Oscars, il a droit à un Chuck Norris.
 ",8.45 / 10 
3145,"
        Chuck Norris a déja fait 7 avec un seul dé
 ",8.44 / 10 
3146,"
        Chuck Norris peut régulariser les verbes irréguliers.
 ",8.44 / 10 
3147,"
        Sur les atomes, il y a écrit : ""Made by Chuck Norris""
 ",8.44 / 10 
3148,"
        Un jour Panoramix parvint à extraire du sang des veines de Chuck Norris, il baptisa ce sang ""Potion Magique"".
 ",8.44 / 10 
3149,"
        Un jour, Chuck Norris a cassé la croûte... Ainsi a commencé la dérive des continents.
 ",8.44 / 10 
3150,"
        Quand Chuck Norris court, il ne subit pas de frottements car il esquive les molécules.
 ",8.44 / 10 
3151,"
        Quand Chuck Norris joue à ""Pierre, papier, ciseaux"", les ciseaux peuvent couper la pierre et le papier emballer les ciseaux.
 ",8.44 / 10 
3152,"
        Chuck ne voyage pas, il colonise.
 ",8.44 / 10 
3153,"
        Chuck Norris peut se gratter le cul avec le coude !
 ",8.44 / 10 
3154,"
        Quand Chuck Norris chante sous la douche, les Rolling Stones l'accompagnent.
 ",8.44 / 10 
3155,"
        « L'enfer, c'est les autres » (Jean-paul Sartre)
« Non, c'est moi... pour les autres » (Chuck Norris).
 ",8.44 / 10 
3156,"
        Quand Chuck Norris se connecte sur emule, il reçoit sans envoyer. Chuck Norris ne partage avec personne...
 ",8.44 / 10 
3157,"
        Chuck Norris n'a pas de paratonnerre, c'est le tonnerre qui a un para-Chuck-Norris.
 ",8.44 / 10 
3158,"
        Quand Chuck Norris te dit :""des comme toi , j'en mange 3 tous les matins"" , ce n'est pas une métaphore.
 ",8.44 / 10 
3159,"
        Chuck Norris a trouvé une botte de foin dans une aiguille. 2 fois.
 ",8.44 / 10 
3160,"
        Chuck Norris peut avaler tout ce qui est ingérable, même les situations.
 ",8.44 / 10 
3161,"
        Quand Chuck Norris mange un yahourt périmé, le yahourt se met à jour.
 ",8.44 / 10 
3162,"
        Chuck Norris ne paye pas d'impôts . On n'impose rien à Chuck Norris
 ",8.44 / 10 
3163,"
        Quand Chuck Norris était pilote de formule 1, il changeait lui même ses pneus.
 ",8.44 / 10 
3164,"
        Quand un ours croise Chuck Norris, il fait le mort.
 ",8.44 / 10 
3165,"
        La scène d'ouverture d'Il faut sauver le soldat Ryan est originellement basée sur une partie de ballon prisonnier que Chuck Norris disputa en CM2.
 ",8.44 / 10 
3166,"
        Si Jésus Christ, c'est parce que Chuck Norris.
 ",8.44 / 10 
3167,"
        Quand il joue au démineur, Chuck Norris met une mine par case. Et il gagne.
 ",8.44 / 10 
3168,"
        Chuck Norris sait parler le braille.
 ",8.44 / 10 
3169,"
        Chuck Norris peut dessiner un arc-en-ciel avec un Bic 4 couleurs.
 ",8.44 / 10 
3170,"
        Quand Chuck Norris a une idée lumineuse, même Dieu met des lunettes de soleil.
 ",8.44 / 10 
3171,"
        Chuck Norris est marié à une blonde intelligente .
 ",8.44 / 10 
3172,"
        La vérité, c'est que Chuck Norris a mis un coup de boule à Harry Potter.
 ",8.44 / 10 
3173,"
        A ""Qui veut gagner des millions ?"", Chuck Norris a gagné des milliards.
 ",8.44 / 10 
3174,"
        Chuck Norris ne met jamais de lettre à la Poste, c'est le destinataire qui vient la chercher.
 ",8.44 / 10 
3175,"
        Il y a 5 ans Chuck Norris a attapé le SIDA,  et il lui a cassé la gueule!
 ",8.44 / 10 
3176,"
        Quand Chuck Norris se fait controler au volant de son pick-up, on lave son pare-brise et on regonfle ses pneus.
 ",8.44 / 10 
3177,"
        Quand Chuck Norris marche en arrière, il remonte le temps.
 ",8.44 / 10 
3178,"
        Chuck Norris peut toucher son nez avec sa langue, mais aussi avec son pénis.
 ",8.44 / 10 
3179,"
        Chuck Norris peut faire du tourrisme en Corée du Nord.
 ",8.44 / 10 
3180,"
        Quand Chuck Norris revenait avec des mauvaises notes, c'était lui qui punissait ses parents.
 ",8.44 / 10 
3181,"
        Chuck Norris fait des ricochets avec une boule de pétanque.
 ",8.44 / 10 
3182,"
        Chuck Norris n'a pas besoin d'arme à feu pour tuer, les munitions lui suffisent.
 ",8.44 / 10 
3183,"
        Chuck Norris ne fait pas de Ctrl+Alt+Suppr, il regarde l'ecran et la programme se kill tout seul.
 ",8.44 / 10 
3184,"
        Quand Chuck Norris va au MacDo, il commande un MacGyver!
 ",8.44 / 10 
3185,"
        Chuck Norris a noyé Archimède dans sa baignoire.
 ",8.44 / 10 
3186,"
        Chuck Norris ne se mouille pas, c'est l'eau qui se Chuck Norris.
 ",8.44 / 10 
3187,"
        Si Chuck Norris ne connaît pas la douleur, c'est parce qu'elle l'évite.
 ",8.44 / 10 
3188,"
        Chuck Norris ne boit du Coca light qu'avec une trentaine de mentos.
 ",8.44 / 10 
3189,"
        Chuck Norris peut toucher son front avec son nez.
 ",8.44 / 10 
3190,"
        Si Néo est l'élu, c'est parce que Chuck Norris a voté pour lui.
 ",8.44 / 10 
3191,"
        Les dinosaures ont disparu quand Chuck Norris les a mis dans les Kinder Surprise
 ",8.44 / 10 
3192,"
        Chuck Norris peut empêcher Jack Bauer de sauver l'Amérique.
 ",8.44 / 10 
3193,"
        Chuck Norris peut se soulever lui même.
 ",8.44 / 10 
3194,"
        Chuck Norris joue au squash avec des boules de pétanque
 ",8.44 / 10 
3195,"
        chuck norris obtient le beurre, l'argent du beurre et la crémière.
 ",8.44 / 10 
3196,"
        Chuck Norris peut boire un Ricoré avant que le soleil ait pu se lever.
 ",8.44 / 10 
3197,"
        Quand Chuck Norris commande une Pizza, la pizza arrive toujours avant le livreur.
 ",8.44 / 10 
3198,"
        Il est impossible de faire une faute en écrivant ""Chuck Norris"". On n'écorche pas Chuck Norris
 ",8.44 / 10 
3199,"
        Chuck Norris peut gagner une partie de 421 avec un seul dé.
 ",8.44 / 10 
3200,"
        Chuck Norris est tellement fort qu'il peut casser en deux un invertébré.
 ",8.44 / 10 
3201,"
        Chuck Norris connait le pourquoi du comment
 ",8.43 / 10 
3202,"
        La plupart des gens se protègent des rayons du soleil. Le soleil se protège des rayons de Chuck Norris
 ",8.43 / 10 
3203,"
        Une seule fois, le monde entier s'est ligué contre Chuck Norris. Il a juste répondu ""Ça va chauffer pour vous!"". Depuis, on doit se démerder avec le réchauffement climatique.
 ",8.43 / 10 
3204,"
        Victor Hugo a écrit La légende des siècles en hommage à Chuck Norris, et les Misérables en hommage à ses victimes.
 ",8.43 / 10 
3205,"
        Pour endormir Chuck Norris enfant, on devait envoyer le marchand de parpaings!!
 ",8.43 / 10 
3206,"
        Une grenade peut tuer quelqu'un. Chuck Norris lui n'a  besoin que de la goupille...
 ",8.43 / 10 
3207,"
        Avec une paille et deux pommes, Mc Gyver fabrique une bombe nucleaire.
Avec les mêmes instruments, Chuck Norris Fabrique un Mc Gyver.
 ",8.43 / 10 
3208,"
        Chuck Norris a déjà vu Derrick faire une cascade.
 ",8.43 / 10 
3209,"
        Chuck Norris peut trouver un brin de foin dans une meule d'aiguilles.
 ",8.43 / 10 
3210,"
        Chuck Norris peut jouer gratuitement à World of Warcraft. Et son compte n'a pas de mot de passe, les autres joueurs ont trop peur pour le pirater.
 ",8.43 / 10 
3211,"
        Chuck Norris gagne de l'argent avec des actions Eurotunnel
 ",8.43 / 10 
3212,"
        En Mai fait surtout ce qui plait à Chuck Norris. Sinon tu ne verras pas Juin.
 ",8.43 / 10 
3213,"
        Quand il est au milieu du désert, Chuck Norris presse des cailloux pour en extraire le jus.
 ",8.43 / 10 
3214,"
        Natacha Amal s'appelle comme ça depuis qu'elle a rencontré Chuck Norris
 ",8.43 / 10 
3215,"
        Chuck Norris a autrefois battu le record universel du lancer de poids, mais celui-ci n'a pu être comptabilisé car le poids n'a toujours pas retouché le sol. Ce poids est aujourd'hui connu comme étant la Lune.
 ",8.43 / 10 
3216,"
        -3% des femmes dans le monde rêvent de connaître une nuit d'amour avec Chuck Norris, pour les autres c'est déjà fait
 ",8.43 / 10 
3217,"
        Chuck Norris ne marche pas sur des oeufs. Il marche sur des poussins.
 ",8.43 / 10 
3218,"
        Quand Chuck Norris fait un plat en plongeant, l'eau crie de douleur.
 ",8.43 / 10 
3219,"
        Chuck Norris peut entendre une image.
 ",8.43 / 10 
3220,"
        Quand l'ordinateur de Chuck Norris est contaminé, c'est le virus qui plante ...
 ",8.43 / 10 
3221,"
        Quand Chuck Norris joue à Qui veut gagner des millions, il gagne le million sans Jokers et avant la pub.
 ",8.43 / 10 
3222,"
        Dans le texte original de la Bible, il n'y a qu'un commandement : ""Ce que Chuck Norris dira, tu feras.""
 ",8.43 / 10 
3223,"
        Selon Einstein, on utilise que 10% des capacités du cerveau. Selon Chuck Norris, on pourrait même ne jamais l'utiliser.
 ",8.43 / 10 
3224,"
        Chuck Norris n'utilise jamais de calculatrice, ça le ralenti.
 ",8.43 / 10 
3225,"
        Quand Chuck Norris joue au Monopoly, il affecte l'économie mondiale.
 ",8.43 / 10 
3226,"
        Pour certains hommes le testicule gauche est plus large que le testicule droit, chez Chuck Norris, chaque testicule est plus large que l'autre.
 ",8.43 / 10 
3227,"
        Chuck Norris n'a pas de sang sur les mains, ses ennemis nettoient avant de mourir.
 ",8.43 / 10 
3228,"
        Chuck Norris peut terminer un rubicube à 7 couleurs.
 ",8.43 / 10 
3229,"
        Chuck Norris n'est pas le premier homme mais vu le nombre de personnes qu'il tue, on peut être sur qu'il sera le dernier.
 ",8.43 / 10 
3230,"
        Chuck Norris court les 24 Heures du Mans en 23 heures.
 ",8.43 / 10 
3231,"
        Chuck Norris a déjà vu le visage de mozinor.
 ",8.43 / 10 
3232,"
        Pour ta femme tu dis que tu déplacerais des montagnes ou décrocherais la Lune...Chuck Norris ne le dit pas, il le fait.
 ",8.43 / 10 
3233,"
        Si Chuck Norris n'existait pas, il s'inventerait lui même.
 ",8.43 / 10 
3234,"
        Chuck Norris a réussi à regarder Secret Story du début à la fin...balèze !
 ",8.43 / 10 
3235,"
        Chuck Norris retouche ses photos sous DOS. Sans souris.
 ",8.43 / 10 
3236,"
        Chuck Norris ne part pas chasser car la chasse implique la possibilité d'un échec. Chuck Norris part tuer.
 ",8.43 / 10 
3237,"
        Au bowling, quand Chuck Norris fait une feinte de tir, les quilles tombent dans les pommes.
 ",8.43 / 10 
3238,"
        Chuck Norris réussit le test de vue les yeux fermés.
 ",8.43 / 10 
3239,"
        Chuck Norris boit de l'eau avec des baguettes
 ",8.43 / 10 
3240,"
        Christophe Colomb à découvert l'amérique, c'est Chuck Norris qui lui à dit quand il est arrivé sur place.
 ",8.43 / 10 
3241,"
        Half-Life est inspiré d'un TP de chimie de Chuck Norris.
 ",8.43 / 10 
3242,"
        Dionysos sort de la cuisse de Jupiter mais Jupiter sort de la cuisse de Chuck Norris.
 ",8.43 / 10 
3243,"
        Chuck Norris n'est jamais au pied du mur. C'est le mur qui est au pied de Chuck Norris
 ",8.43 / 10 
3244,"
        La terre etait plate jusqu'à ce que Chuck Norris décide du contraire.
 ",8.43 / 10 
3245,"
        On encaisse pas un chèque de Chuck Norris : On l'encadre.
 ",8.43 / 10 
3246,"
        Chuck Norris peut faire des trous dans l'eau.
 ",8.43 / 10 
3247,"
        Un Terminator est une contrefaçon asisatique de mauvaise qualité de Chuck Norris.
 ",8.43 / 10 
3248,"
        Chuck Norris peut entendre un film muet.
 ",8.43 / 10 
3249,"
        Donne un poisson a un homme, il mangera un jour.
Apprend lui a pêcher, il mangera toute sa vie.
Amène lui Chuck Norris, il ne mangera plus jamais...
 ",8.43 / 10 
3250,"
        Chuck Norris est déjà allé sur Pluton. A pied.
 ",8.43 / 10 
3251,"
        Chuck Norris a déjà tuer un homme deux fois.
 ",8.43 / 10 
3252,"
        Quand Chuck Norris rentre dans un bureau de poste, se sont les employés des guichets qui font la queue pour le servir.
 ",8.43 / 10 
3253,"
        Les Terminator ne ressentent pas la peur, mais depuis qu'ils connaissent Chuck Norris, c'est différent.
 ",8.43 / 10 
3254,"
        C'est Chuck Norris qui a volé l'orange du marchand.
 ",8.43 / 10 
3255,"
        Si Chuck Norris avait tapé Jésus, il n'aurait pas pu tendre l'autre joue. Chuck Norris ne s'y reprend pas à deux fois.
 ",8.43 / 10 
3256,"
        Chuck Norris n'appelle pas ça un rapport sexuel si la femme survit.
 ",8.43 / 10 
3257,"
        Chuck Norris a crée Dieu afin qu'on le laisse un peu tranquille.
 ",8.43 / 10 
3258,"
        Quand Chuck Norris joue aux mots croisés, il remplit même les cases noires.
 ",8.43 / 10 
3259,"
        Clara Morgane fantasme devant les films de Chuck Norris.
 ",8.43 / 10 
3260,"
        Quand Chuck Norris marche dans la merde du pied gauche, ça porte malchance... au propriétaire du chien.
 ",8.43 / 10 
3261,"
        Si Chuck Norris n'est pas dans le dictionnaire, c'est parce que tout le monde sait qui il est.
 ",8.43 / 10 
3262,"
        Si Chuck Norris avait joué dans Heroes, il n'y aurait pas de S au titre.
 ",8.43 / 10 
3263,"
        Le seul homme a avoir défié Chuck Norris au bras de fer est aujourd'hui appelé capitaine crochet
 ",8.43 / 10 
3264,"
        Chuck Norris est apparu à la Vierge
 ",8.43 / 10 
3265,"
        Chuck Norris peut faire échec et mat au jeu de l'oie.
 ",8.43 / 10 
3266,"
        La force de Chuck Norris est égale à l'Infini + 1.
 ",8.43 / 10 
3267,"
        Chuck Norris joue au paint ball avec un AK-47
 ",8.43 / 10 
3268,"
        le 5 avril 1994, Chuck Norris a joué de la guitare devant Kurt Cobain.
 ",8.43 / 10 
3269,"
        Qui sème le vent récolte la main de Chuck Norris dans sa gueule.
 ",8.43 / 10 
3270,"
        Chuck Norris peut séparer le Recto du Verso.
 ",8.43 / 10 
3271,"
        Si on n'a jamais retrouvé le Saint Graal, c'est parce qu'il était parti faire la quête de Chuck Norris.
 ",8.43 / 10 
3272,"
        Chuck Norris fait des chateaux de cartes dans le space mountain.
 ",8.43 / 10 
3273,"
        Chuck Norris ne craint pas les All Blacks, mais ces derniers apprécient que Chuck Norris n'ai jamais joué au rugby.
 ",8.43 / 10 
3274,"
        Aux Etats Unis, les femmes ont une figurine de Chuck Norris dans leur sac contre les agressions.
 ",8.43 / 10 
3275,"
        Quand Chuck Norris va à Ibiza, toutes les boîtes de nuits passent de la Country et tout le monde danse sans broncher.
 ",8.43 / 10 
3276,"
        Lorsque Chuck Norris fume, c'est la cigarette qui tousse.
 ",8.43 / 10 
3277,"
        L'erreur est humaine, elle n'est pas Chuck Norris.
 ",8.43 / 10 
3278,"
        Quand Chuck Norris joue à 1,2,3...Soleil, c'est celui qui compte qui n'ose plus bouger
 ",8.43 / 10 
3279,"
        Chuck Norris censure le gouvernement chinois.
 ",8.43 / 10 
3280,"
        La dérive des continent n'existe pas, c'est Chuck Norris qui fait un puzzle.
 ",8.43 / 10 
3281,"
        Chuck Norris peut battre le fer quand il est froid.
 ",8.43 / 10 
3282,"
        Quand Chuck Norris a une insomnie, le soleil se relève.
 ",8.43 / 10 
3283,"
        Lhomme descend du singe, Chuck Norris descend des hommes.
 ",8.43 / 10 
3284,"
        Chuck Norris arrive toujours avant le premier.
 ",8.42 / 10 
3285,"
        Chuck Norris ne pleure pas : il transpire des yeux !
 ",8.42 / 10 
3286,"
        Chuck Norris a gagné la star académie en chantant la danse des canards
 ",8.42 / 10 
3287,"
        Souvent les loups affamés disent "" j'ai une faim de Chuck Norris""
 ",8.42 / 10 
3288,"
        Chuck Norris a eu 3 Télés au morpion.
 ",8.42 / 10 
3289,"
        Chuck Norris a changé la couleur du cheval blanc d'Henry IV.
 ",8.42 / 10 
3290,"
        Quand Chuck Norris joue au sims, au bout de 10 minutes un message apparait avec ""Bravo vous avez gagné !"" : Chuck Norris gagne toujours
 ",8.42 / 10 
3291,"
        Chuck Norris ne se fait jamais conduire. On ne roule pas Chuck Norris.
 ",8.42 / 10 
3292,"
        Quand Chuck Norris marche sur une peau de banane, c'est la peau de banane qui tombe
 ",8.42 / 10 
3293,"
        Quand Chuck Norris veut manger des cuisses de grenouilles, Godzilla se cache.
 ",8.42 / 10 
3294,"
        Un enfant a dit a Chuck "" Tu pousses le bouchon un peu trop loin Norris"" depuis il a atteint une vitesse suffisante pour etre un satellite artificiel de la terre.
 ",8.42 / 10 
3295,"
        Chuck Norris fait toutes ses présentations avec PowerPoing
 ",8.42 / 10 
3296,"
        Nicky Larson ne craint personne... sauf Chuck Norris.
 ",8.42 / 10 
3297,"
        Chuck Norris est capable de laisser un message avant le bip sonore.
 ",8.42 / 10 
3298,"
        Si Chuck Norris avait joué dans ""La planete des singes"", tous les singes auraient fini au zoo
 ",8.42 / 10 
3299,"
        C'est Chuck Norris qui aurait fait couler un bain a Claude Francois
 ",8.42 / 10 
3300,"
        C'est en se rasant que Chuck Norris affute son couteau.
 ",8.42 / 10 
3301,"
        Un jour, Chuck norris a joué à ""je t'ai pris ton nez"" avec le Sphinx...
 ",8.42 / 10 
3302,"
        Dieu créa l'Homme à son image, Chuck Norris créa Dieu à ses heures perdues.
 ",8.42 / 10 
3303,"
        Le Diable a vendu son âme à Chuck Norris.
 ",8.42 / 10 
3304,"
        Chuck Norris n'a pas besoin de se laver : il dit à la saleté de partir.
 ",8.42 / 10 
3305,"
        Si le gamin du Sixième Sens entendait ""des gens qui sont morts""... C'est parce que Chuck Norris tournait un film sur le plateau d'à côté...
 ",8.42 / 10 
3306,"
        Ce que Chuck Norris veut, Dieu ne le veut pas forcément, mais il n'a pas le choix; mais ce que Dieu veut, Chuck Norris s'en fout.
 ",8.42 / 10 
3307,"
        Cest parce quil tranche les gorges quon dit que Chuck Norris est polyglotte.
 ",8.42 / 10 
3308,"
        Chuck Norris avait prédit Nostradamus.
 ",8.42 / 10 
3309,"
        Les talibans portent la barbe en hommage à Chuck Norris.
 ",8.42 / 10 
3310,"
        Le garagiste de Chuck Norris est honnète.
 ",8.42 / 10 
3311,"
        Dieu voulait créer l'univers en 10 jours. Chuck Norris lui en a donné 6.
 ",8.42 / 10 
3312,"
        Tous les kangourous portent un slip Chuck Norris
 ",8.42 / 10 
3313,"
        Chuck Norris joue au bilboquet sans trou dans la boule
 ",8.42 / 10 
3314,"
        Si Chuck Norris avait été pris à la place de Jack Bauer, la série ne se serait pas appelée ""24 Heures"" mais ""Même pas Une"".
 ",8.42 / 10 
3315,"
        Chuck Norris peut faire échec et mat en un coup.
 ",8.42 / 10 
3316,"
        1ere règle du fight club:
Il est interdit de parler du fight club

2eme règle du fight club:
Il est interdit de parler du fight club... surtout à Chuck Norris.
 ",8.42 / 10 
3317,"
        Vous en rêviez ... Chuck Norris l'a déjà fait.
 ",8.42 / 10 
3318,"
        Sur terre on redoute la porte des enfer, en enfer on redoute la porte de Chuck Norris
 ",8.42 / 10 
3319,"
        Chuck norris aimait bien Jesus, alors il l'a ressucité.
 ",8.42 / 10 
3320,"
        Chuck Norris monte le mont Everest sur une luge.
 ",8.42 / 10 
3321,"
        Chuck Norris peut assomer quelqu'un à coups de mouchoirs.
 ",8.42 / 10 
3322,"
        Chuck Norris peut dire ""Krisprolls"" la bouche pleine, et sans en mettre partout.
 ",8.42 / 10 
3323,"
        Quand les dauphins regardent Chuck Norris nager ils prennent des notes.
 ",8.42 / 10 
3324,"
        Un jour Wolverine a appelé Chuck Norris ""Nono"". Ainsi Chuck Norris créa la fourchette...
 ",8.42 / 10 
3325,"
        Quand Chuck Norris fait de l'apnée, c'est l'eau qui s'étouffe
 ",8.42 / 10 
3326,"
        Fort Knox est si bien défendu car il contient la plus grande richesse des Etats-Unis : Le DVD original de Delta Force.
 ",8.42 / 10 
3327,"
        Si Chuck Norris avait été le héro de Prison Break, la série aurait duré un seul episode.
 ",8.42 / 10 
3328,"
        St Pierre en a marre de voir toute la foule de victimes de Chuck Norris se bousculer aux portes de l'Au-Delà mais il dit rien parce qu'il tient à sa vie.
 ",8.42 / 10 
3329,"
        Inutile de chercher midi à quatorze heures... Chuck Norris l'a trouvé.
 ",8.42 / 10 
3330,"
        Chuck prit le pain, le rompit et puis finalement tua tout le monde.
 ",8.42 / 10 
3331,"
        Quand Chuck regarde un match de foot dans les tribunes, il peut mettre sur pause.
 ",8.42 / 10 
